tipo_suelo,pH,materia_organica,conductividad,nitrogeno,fosforo,potasio,humedad,densidad,altitud,fertilidad,cultivo
4,8.08,4.03,3.89,20.79,6.52,189.64,10.79,1.37,1153.33,0,Ninguno
2,4.58,3.96,3.69,48.61,36.55,32.14,31.37,1.17,645.88,0,Ninguno
1,5.47,1.87,2.15,8.83,12.59,111.39,10.9,1.32,3386.51,0,Ninguno
4,8.42,1.49,0.78,26.02,30.48,271.71,9.69,1.42,2124.18,0,Ninguno
2,7.82,1.59,3.57,26.47,36.88,82.83,26.67,1.16,3343.43,0,Ninguno
1,5.98,0.7,1.16,36.51,35.76,40.82,28.89,1.09,482.58,0,Ninguno
2,6.39,2.9,3.05,17.12,27.84,24.06,25.01,1.1,2979.96,0,Ninguno
1,6.55,2.66,2.18,23.08,18.46,282.68,5.47,1.44,2370.5,0,Ninguno
2,8.31,2.01,0.38,15.14,14.51,297.78,16.59,1.51,3525.45,0,Ninguno
4,5.23,0.86,3.76,34.64,15.57,134.59,13.66,1.1,796.17,0,Ninguno
4,7.95,4.52,3.6,7.09,34.87,278.75,32.16,1.2,1012.52,0,Ninguno
3,5.03,2.83,1.72,8.71,33.91,56.85,10.99,1.1,367.98,0,Ninguno
2,7.0,1.99,3.89,14.69,6.23,258.35,24.84,1.11,1765.38,0,Ninguno
1,5.75,2.29,2.27,8.19,32.64,257.85,29.6,1.44,1635.01,0,Ninguno
1,6.99,1.27,0.37,27.48,6.6,191.91,39.5,1.06,180.81,0,Ninguno
1,4.82,3.61,3.17,5.74,12.85,292.19,12.94,1.08,2963.46,0,Ninguno
3,5.99,0.74,1.42,16.78,18.35,155.43,19.43,1.16,2892.97,0,Ninguno
4,7.79,1.84,3.53,5.59,12.37,223.41,7.29,1.01,3010.43,0,Ninguno
4,8.46,2.21,0.14,39.22,30.72,49.85,8.74,1.53,140.54,0,Ninguno
4,6.53,1.45,1.42,19.31,26.44,39.4,27.82,1.22,2849.29,0,Ninguno
3,8.37,1.79,3.78,16.49,8.2,36.69,9.39,1.22,3780.37,0,Ninguno
1,6.85,0.97,2.84,46.03,18.19,202.91,9.13,1.44,864.4,0,Ninguno
1,7.21,2.36,0.69,10.62,7.67,281.32,7.35,1.56,2753.65,0,Ninguno
4,4.65,1.73,0.14,47.19,18.67,222.84,26.75,1.15,1961.52,0,Ninguno
1,7.29,4.81,3.96,26.09,13.59,189.81,8.79,1.49,3782.44,0,Ninguno
2,4.52,0.6,0.64,14.77,32.94,181.95,39.18,1.68,918.78,0,Ninguno
4,7.74,4.56,2.7,20.59,6.93,40.56,7.63,1.13,791.32,0,Ninguno
3,5.11,0.51,2.81,22.86,6.08,38.19,28.06,1.14,2196.66,0,Ninguno
3,4.78,2.93,0.83,29.27,21.26,73.85,33.52,1.55,2061.69,0,Ninguno
2,7.25,2.48,3.67,30.0,16.46,219.59,10.93,1.27,1855.51,0,Ninguno
1,8.36,1.15,2.29,20.94,33.28,189.98,37.81,1.37,3209.82,0,Ninguno
3,5.07,0.89,2.63,31.38,17.26,224.88,18.86,1.36,3338.61,0,Ninguno
4,6.19,1.72,0.46,10.28,39.91,94.6,35.18,1.26,3059.83,0,Ninguno
2,5.64,4.94,3.7,28.93,15.4,198.39,13.56,1.64,2452.98,0,Ninguno
1,7.88,3.16,3.79,30.29,20.96,154.28,12.27,1.37,1411.29,0,Ninguno
4,7.51,1.52,1.3,5.15,14.28,187.01,18.21,1.62,362.49,0,Ninguno
1,7.47,2.05,3.88,11.09,27.52,191.25,10.72,1.37,837.57,0,Ninguno
4,7.34,2.05,3.6,14.09,33.48,286.73,5.61,1.06,560.47,0,Ninguno
2,7.62,2.91,3.84,37.92,30.51,261.32,11.55,1.26,869.26,0,Ninguno
1,4.85,2.42,1.23,6.04,33.28,193.17,27.29,1.31,3744.25,0,Ninguno
4,6.05,3.35,3.33,11.55,26.36,26.74,20.69,1.35,1830.99,0,Ninguno
1,6.77,1.56,2.26,8.08,35.81,143.22,7.56,1.09,3788.52,0,Ninguno
3,8.31,1.08,0.26,14.99,6.36,54.82,13.1,1.64,3614.24,0,Ninguno
3,8.08,4.28,2.88,7.02,20.25,50.44,5.29,1.61,2872.93,0,Ninguno
1,5.93,1.58,1.02,7.96,34.7,238.57,25.3,1.11,2483.44,0,Ninguno
2,5.79,1.64,3.08,12.88,19.79,33.71,10.9,1.63,482.29,0,Ninguno
1,4.54,3.1,1.78,37.3,13.56,222.91,21.1,1.68,2298.12,0,Ninguno
3,6.72,3.63,3.53,17.39,28.3,54.81,16.96,1.33,340.95,0,Ninguno
1,4.86,0.84,1.12,17.88,9.93,137.64,35.43,1.14,1900.92,0,Ninguno
3,4.8,0.85,3.02,18.66,35.42,55.95,13.32,1.7,1731.99,0,Ninguno
2,8.08,1.87,3.78,37.47,12.76,276.29,14.04,1.67,1109.02,0,Ninguno
3,8.11,0.84,1.24,42.29,38.2,250.4,5.9,1.62,2951.39,0,Ninguno
4,5.34,3.84,2.14,8.36,34.75,184.84,13.42,1.66,1534.91,0,Ninguno
