tipo_suelo,pH,materia_organica,conductividad,nitrogeno,fosforo,potasio,humedad,densidad,altitud,fertilidad,cultivo
4,6.91,4.44,1.06,15.91,21.71,91.45,40.64,1.46,872.54,1,Cafe
2,8.47,5.09,2.51,23.07,28.6,262.85,15.55,1.03,1085.54,1,Cafe
1,6.08,3.2,2.08,47.34,38.68,345.32,27.29,1.6,25.17,1,Maiz
4,7.43,2.02,0.62,34.79,27.85,82.39,41.94,1.4,725.57,1,Cebolla
2,7.98,4.53,1.94,42.11,28.34,137.39,12.01,1.29,3411.11,1,Papa
1,6.19,2.51,0.54,15.35,32.66,158.25,25.47,1.32,3692.73,1,Cebolla
2,7.61,3.26,0.93,13.57,37.84,115.33,30.9,1.18,4379.0,1,Cebada
1,8.03,2.39,1.99,27.4,31.75,339.8,32.09,1.7,1643.68,1,Cafe
2,6.56,3.44,1.79,34.47,35.19,333.71,26.45,1.66,3545.63,1,Papa
4,6.47,1.86,0.22,49.97,33.52,339.18,29.43,1.77,1973.57,1,Cafe
4,6.15,4.07,1.7,21.44,41.37,318.83,11.86,1.13,434.94,1,Maiz
3,5.95,2.19,0.89,55.03,21.24,346.91,37.4,1.67,4364.87,1,Cebada
2,7.7,4.32,2.28,34.79,36.42,162.87,23.83,1.24,2378.03,1,Cebolla
1,6.04,5.18,1.61,37.17,17.24,116.41,29.58,1.54,2228.24,1,Cebolla
1,7.44,5.05,2.68,28.89,34.76,296.06,12.15,1.18,2895.91,1,Cebolla
1,8.77,3.36,0.68,28.13,22.01,315.45,16.32,1.47,571.65,1,Cebolla
3,7.4,5.14,2.23,35.46,36.86,109.66,35.48,1.8,3466.28,1,Papa
4,8.26,3.19,2.77,16.71,10.91,126.6,15.77,1.48,3959.1,1,Cebada
4,7.28,3.41,1.95,45.52,21.06,133.57,40.16,1.58,248.49,1,Maiz
4,8.29,3.38,0.99,48.11,21.91,248.88,14.56,1.38,1711.93,1,Cafe
3,8.47,3.74,2.22,30.81,25.43,338.54,12.7,1.41,61.49,1,Maiz
1,7.3,3.63,1.91,34.43,37.08,272.86,38.81,1.69,3852.54,1,Cebolla
1,6.57,2.78,1.93,16.52,27.72,144.4,14.35,1.24,912.62,1,Cafe
4,7.99,4.15,1.88,52.3,16.64,251.75,38.07,1.49,279.93,1,Maiz
